"Date Made Public","Company","Location","Type of breach","Type of organization","Records Breached","Total Records","Description of incident","Information Source","Source URL"
"March 11, 2016","Staminus Communications Inc.","Newport Beach, California","HACK","BSO","Unknown","Unknown","Staminus Communications Inc. has notified individuals of a data breach when their network was hacked and their site went down. Customer credentials, support tickets, credit card numbers and other sensitive data showed up on online download links. More information: http://krebsonsecurity.com/2016/03/hackers-target-anti-ddos-firm-staminus/","Krebs On Security",""
"March 1, 2016","Central Concrete Supply Company","San Jose, California","HACK","BSO","Unknown&nbsp;","Unknown","Central Concrete Supply Company notified employees of a data breach when
 they discovered a third party gained access to copies of employees W2 
information along with tax withholding statements that contained 
personal information of the employees.The information compromised included employer name, employee names, 
addresses, phone numbers, tax identification numbers, social security 
numbers, and income information. The company has retained Kroll to provide identity theft protection for one year for free. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60270","California Attorney General",""
"March 4, 2016","Rosen Hotels & Resorts","Orlando, Florida","HACK","BSO","Unknown","Unknown","Rosen Hotels have notified customers of a data breach when unauthorized charges occurred on payment cards after guests used their payments during their stay. The hotel discovered that an unauthorized malware was installed on their payment card network. The information compromised included card numbers, expiration dates, and internal verification codes. Cards used from September 2, 2014 and February 18, 2016.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60301","California Attorney General",""
"March 24, 2016","Verizon Enterprise Solutions","New York, New York","HACK","BSO","Unknown","Unknown","Verizon Enterprise Solutions has suffered a data breach of their customer data. ""Earlier this week, a prominent member of a closely guarded 
underground cybercrime forum posted a new thread advertising the sale of
 a database containing the contact information on some 1.5 million 
customers of Verizon Enterprise.
The seller priced the entire package at $100,000, but also offered to
 sell it off in chunks of 100,000 records for $10,000 apiece. Buyers 
also were offered the option to purchase information about security 
vulnerabilities in Verizon’s Web site.""Verizon communicated to KrebsOnSecurity that ""the company recently identified a security flaw in its site that permitted hackers to steal customer contact information, and that it is in the process of alerting affected customers.""More Information: http://krebsonsecurity.com/2016/03/crooks-steal-sell-verizon-enterprise-...","Krebs On Security",""
"March 4, 2016","21st Century Oncology","Fort Meyers, Florida","HACK","MED","2.2 million records across all 50 states.","2,200,000","21st Oncology notified individuals of a data breach of patient information via unauthorized access to their database. The information compromised included names, Social Security numbers, physician's name, diagnosis and treatment information, and insurance information. The company is offering Experian's Protect My ID to those who were affected.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60307UPDATE (3/24/2016): 3 class action lawsuits have been filed against 21st Century Oncology over a major data breach of patient data. ""Patients affected by a recent computer data breach at 21st Century 
Oncology have filed federal class-action lawsuits, claiming the Fort 
Myers-based cancer-care provider failed to adequately protect sensitive 
medical and personal information.""More Information: http://www.news-press.com/story/news/2016/03/23/21st-century-breach-prom...","California Attorney General",""
"March 8, 2016","Billy Casper Golf","Reston, Virginia","HACK","BSO","Unknown","Unknown","Billy Casper Golf has notified customers of a data breach when they were a target of email spoofing attack. Hackers were able to obtain information from individuals W-2 information. The spoofing email appeared as if it was coming from the CEO asking for all 2015 employee W2 information. For those with questions call 877-213-5100 Monday through Friday from 9:00 a.m. to 7 p.m. EST and provide reference number 9416022816.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60368 ","California Attorney General",""
"March 8, 2016","1-800-Flowers","Carle Place, New York","HACK","BSO","Unknown","Unknown","1-800-Flowers customer service received reports on February 15, 2016 from customers that they couldn't complete their online orders. The company investigated and discovered from February 15th, 2016 through February 17th, 2016 orders that were placed may have been compromised customer personal information.Information compromised may have included names, addresses, email addresses, payment card numbers, expirations dates and security codes.For those that were affected can call 888-687-9294 from 9 a.m to 7 p.m EST.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60377","",""
"March 11, 2016","Sequoia Union High School","Redwood City, California","HACK","BSO","Unknown","Unknown","Sequoia Union High School District (SUHSD) notified employees and retiree personal information of a data breach when a phishing incident when a third party accessed an office computer that contained personal information of employees and retirees. The information compromised included names and Social Security numbers.The school district is providing a free membership for one year through ProtectMyID. For these questions they can call 1-844-754-5532 Monday through Friday 6:00 a.m to 6:00 p.m Pacific Time. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60445 ","California Attorney General",""
"March 14, 2016","Mitchell International, Inc. ","San Diego, California","HACK","BSO","Unknown","Unknown","Mitchell International, Inc. notified individuals of a data breach when an individual impersonated an executive with the company and convinced an employee to provide certain information on current and former employees. The information compromised included first and last names, Social Security numbers, and salary information.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60473","California Attorney General",""
"March 15, 2016","Laborers Funds Administrative Office of Northern California, Inc.","Fairfield, California","DISC","BSO","Unknown","Unknown","The Laborers Health and Welfare Fund of Northern California notified member of a databreach when a computer error caused personal information of members and member's family to be sent to another fund member.The information compromised included full names, Social Security numbers, and health plan coverage. The same information was compromised for dependents as well. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60488","California Attorney General",""
"March 16, 2016","Advanced Auto Parts","Roanoke, Virginia","HACK","BSR","Unknown","Unknown","Advance Auto Parts notified individuals of a data breach when the company suffered a phishing attack when an unauthorized individual posed as an employee, and convinced an employee of the company to provide a file containing information about certain individuals working for the company. The information compromised included names, Social Security numbers, 2015 gross wages, and the state(s) the individual pays income taxes.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60518","California Attorney General",""
"March 16, 2016","PerkinElmer, Inc.","Waltham, Massachusetts","HACK","BSO","Unknown","Unknown","PerkinElmer, Inc notified employees of a data breach when a PerkinsElmer employee was a victim of a phishing scam and was sent an email that appeared to be from another PerkinsElmer employee requesting information on other employees. The information compromised included names, dates of birth, home addresses, Social Security numbers, salary information, titles and specific employee information.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60521 ","California Attorney General",""
"March 21, 2016","LAZ Parking","Hartford, Connecticut","HACK","BSO","Unknown","Unknown","LAZ Parking notified employees of a data breach when an email phishing scam was sent to an employee appearing as though it was from a LAZ Parking executive asking for employees' 2015 W2 information. The information compromised included first and last names, home addresses, Social Security numbers, and 2015 compensation data.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60586","California Attorney General",""
"March 23, 2016","Lamps Plus","Chatsworth, California","HACK","BSR","Unknown","Unknown","Lamps Plus notified employees of a data breach when a phishing email sent to an employee that posed as an executive of the company asking for employee W-2 information. The information compromised included names, Social Security numbers, addresses and unfortunately this compromised information was used to file fraudulent tax returns.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60670UPDATE (4/4/2016): ""Lamps Plus is facing a proposed class action lawsuit over allegations that the company failed to provide adequate security measures to prevent a recent massive data hack into the company’s payroll system, putting more than 1,300 employees’ sensitive information at risk.""Information regarding the lawsuit is as follows: ""The Lamps Plus Employee Data Breach Class Action Lawsuit is Frank Varela, et al. v. Lamps Plus Inc., et al., Case No. 5:16-cv-00577, in the U.S. District Court for the Central District of California, Eastern Division – Riverside.""More Information: http://topclassactions.com/lawsuit-settlements/lawsuit-news/331892-lamps...","California Attorney General",""
"March 25, 2016","AspiraNet","Bakersfield, California","HACK","NGO","Unknown","Unknown","AspiraNet notified individuals of a databreach when a spoofing email went out on March 21, 2016. The spoofing email that resulted in W-2 information being disclosed. The information compromised included names, residential addresses, and Social Security numbers. The company is providing ProtectMyID Elite for free for two years. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60715","California Attorney General",""
"March 28, 2016","Sprouts Farmers Market","Phoenix, Arizona","HACK","BSO","Unknown","Unknown","Sprouts Farmers Market notified employees of a databreach when a phishing attack resulted in disclosure of employee W-2 information. The information compromised included names, addresses, Social Security numbers, wages, and withheld taxes for 2015 in the state in which individuals pay income taxes. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60739","California Attorney General",""
"March 28, 2016","Ullrich Delevati","Woodland, California","HACK","BSF","Unknown","Unknown","Ullrich Delevati CPA's notified customers of a data breach when their system was compromised exposing names, addresses, dates of birth, Social Security numbers, and bank account numbers. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60748","California Attorney General",""
"March 30, 2016","Pivotal Software Inc. ","Palo Alto, California","HACK","BSO","Unknown","Unknown","Pivotal Software notified individuals of a databreach when they were a victim of a phishing scam. ""On March 22, 2016 a third party sent a fraudulent email message impersonating CEO Rob Mee to an employee requesting certain information about Pivotal employees. The employee responded to the request, mistakenly believing that it came from Mr. Mee.""More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60798","California Attorney General",""
